 ,Label,Area,XM,YM,Perim.,Circ.,AR,Round,Solidity
778,Image01_cropped.jpg,2,2198.50000,2680.00000,4.82843,1.00000,2.00000,0.50000,1.00000
779,Image01_cropped.jpg,1,2205.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
780,Image01_cropped.jpg,1,2216.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
781,Image01_cropped.jpg,1,2235.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
782,Image01_cropped.jpg,2,2245.00000,2680.00000,5.65685,0.78540,2.64575,0.37796,0.66667
783,Image01_cropped.jpg,3,2274.16667,2679.83333,5.65685,1.00000,1.46385,0.68313,0.85714
784,Image01_cropped.jpg,1,2299.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
785,Image01_cropped.jpg,3,2351.16667,2680.50000,7.65685,0.64303,2.70203,0.37009,0.66667
786,Image01_cropped.jpg,1,2368.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
787,Image01_cropped.jpg,2,2380.00000,2680.00000,5.65685,0.78540,2.64575,0.37796,0.66667
788,Image01_cropped.jpg,1,3186.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
789,Image01_cropped.jpg,2,3196.50000,2680.00000,4.82843,1.00000,2.00000,0.50000,1.00000
790,Image01_cropped.jpg,1,3219.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
791,Image01_cropped.jpg,1,3273.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
792,Image01_cropped.jpg,1,3358.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
793,Image01_cropped.jpg,1,3382.50000,2679.50000,2.82843,1.00000,1.00000,1.00000,1.00000
794,Image01_cropped.jpg,2,2202.00000,2681.00000,5.65685,0.78540,2.64575,0.37796,0.66667
795,Image01_cropped.jpg,1,2242.50000,2680.50000,2.82843,1.00000,1.00000,1.00000,1.00000
